data,ultima_atualizacao,municipio,codigo,mesorregiao,microrregiao,confirmadosAcumulados,mortesAcumuladas
2020-06-04,True,Soledade,2516102,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,13,0
2020-06-04,True,Sossêgo,2516151,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,0,0
2020-06-04,True,Sousa,2516201,SERTAO PARAIBANO,SOUSA,241,1
2020-06-04,True,Sumé,2516300,BORBOREMA,CARIRI OCIDENTAL,36,0
2020-06-04,True,Tacima,2516409,AGRESTE PARAIBANO,CURIMATAU ORIENTAL,16,1
2020-06-04,True,Taperoá,2516508,BORBOREMA,CARIRI OCIDENTAL,35,1
2020-06-04,True,Tavares,2516607,SERTAO PARAIBANO,SERRA DO TEIXEIRA,8,0
2020-06-04,True,Teixeira,2516706,SERTAO PARAIBANO,SERRA DO TEIXEIRA,25,0
2020-06-04,True,Tenório,2516755,BORBOREMA,SERIDO ORIENTAL PARAIBANO,1,0
2020-06-04,True,Triunfo,2516805,SERTAO PARAIBANO,CAJAZEIRAS,0,0
2020-06-04,True,Uiraúna,2516904,SERTAO PARAIBANO,CAJAZEIRAS,4,1
2020-06-04,True,Umbuzeiro,2517001,AGRESTE PARAIBANO,UMBUZEIRO,16,1
2020-06-04,True,Várzea,2517100,BORBOREMA,SERIDO OCIDENTAL PARAIBANO,1,0
2020-06-04,True,Vieirópolis,2517209,SERTAO PARAIBANO,SOUSA,3,0
2020-06-04,True,Vista Serrana,2505501,SERTAO PARAIBANO,SOUSA,1,0
2020-06-04,True,Zabelê,2517407,BORBOREMA,CARIRI OCIDENTAL,0,0
